routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ecmp-mptcp,true,113525.49889135254,146718.40354767183,0.0902,0.3785902277148415
ecmp-mptcp,true,128000,330237.5,0.08,0.3267439604152518
ecmp-mptcp,true,140852.8198074278,180852.8198074278,0.0727,0.4812591508052709
ecmp-mptcp,true,207287.44939271256,331174.08906882594,0.0494,0.8732785310131312
ecmp-mptcp,true,151703.7037037037,194429.6296296296,0.0675,0.3182347235693501
ecmp-mptcp,true,31811.121466293876,82298.85057471263,0.3219,0.26161883967560823
ecmp-mptcp,true,114669.65285554311,146965.2855543113,0.0893,0.27158347818889167
ecmp-mptcp,true,108130.93980992607,293115.1003167898,0.0947,0.4342664776754075
ecmp-mptcp,true,136351.53129161117,174354.19440745673,0.0751,0.389377899369573
ecmp-mptcp,true,142420.02781641166,184561.89151599442,0.0719,0.34924728918833564
ecmp-mptcp,true,120754.71698113208,154528.30188679244,0.0848,0.5026852846401718
ecmp-mptcp,true,108359.78835978836,290349.20634920633,0.0945,0.276085392180379
ecmp-mptcp,true,9960.120610835522,25373.018188892132,1.0281,0.32810186556114895
ecmp-mptcp,true,9901.373041964804,25675.88474182943,1.0342,0.606459761818838
ecmp-mptcp,true,223093.6819172113,288061.00217864924,0.0459,0.6160656043239213
ecmp-mptcp,true,108359.78835978836,271767.1957671958,0.0945,0.5423315975138585
ecmp-mptcp,true,102195.60878243513,148163.67265469063,0.1002,0.5281018782014798
ecmp-mptcp,true,145868.94586894588,258803.4188034188,0.0702,0.8937426210153483
ecmp-mptcp,true,132129.03225806452,171406.4516129032,0.0775,0.38198757763975155
ecmp-mptcp,true,95078.92293407614,170129.99071494892,0.1077,0.6427318647397222
ecmp-mptcp,true,119766.08187134501,157403.5087719298,0.0855,0.6147451123698155
ecmp-mptcp,true,101890.54726368158,131800.99502487562,0.1005,0.5655849701110163
ecmp-mptcp,true,103643.72469635628,313198.38056680164,0.0988,0.5873215126314137
ecmp-mptcp,true,108130.93980992607,140654.6990496304,0.0947,0.4505479637396834
ecmp-mptcp,true,126108.37438423646,163743.84236453203,0.0812,0.4906273062730627
ecmp-mptcp,true,138565.62922868744,187713.1258457375,0.0739,0.48233657858136303
ecmp-mptcp,true,131450.57766367137,191630.29525032092,0.0779,0.7224157955865272
ecmp-mptcp,true,212448.132780083,278132.78008298756,0.0482,0.7860912395918846
ecmp-mptcp,true,123821.03990326481,159733.97823458284,0.0827,0.33466761248479937
ecmp-mptcp,true,124422.8432563791,182162.81895504254,0.0823,0.5016731361263552
ecmp-mptcp,true,156814.70137825422,256983.1546707504,0.0653,0.5944806575031883
ecmp-mptcp,true,97061.61137440758,157630.33175355452,0.1055,0.5162031288800596
ecmp-mptcp,true,108245.24312896405,139513.7420718816,0.0946,0.2852511455001297
ecmp-mptcp,true,105458.2904222451,136271.88465499485,0.0971,0.6213373403456047
ecmp-mptcp,true,112527.47252747254,146769.23076923078,0.091,0.4986559139784946
ecmp-mptcp,true,115315.31531531531,172128.37837837837,0.0888,0.385478664380107
ecmp-mptcp,true,224070.0218818381,300350.10940919037,0.0457,1
ecmp-mptcp,true,104810.64483111567,136724.66734902764,0.0977,0.5747848537005164
ecmp-mptcp,true,95700.93457943926,123457.94392523365,0.107,0.48437958345555876
ecmp-mptcp,true,143016.75977653632,230027.93296089387,0.0716,0.4388255355430033
ecmp-mptcp,true,147976.87861271677,199421.9653179191,0.0692,0.2796465915538624
ecmp-mptcp,true,131450.57766367137,192939.66623876765,0.0779,0.4238100609068351
ecmp-mptcp,true,113024.2825607064,145209.71302428257,0.0906,0.6844953173777315
