routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ecmp-mptcp,true,2051205.0078247262,2320970.266040689,0.0639,1
ecmp-mptcp,true,1497965.7142857143,1751200,0.0875,0.39564871620086345
ecmp-mptcp,true,1756997.3190348526,3620938.3378016087,0.0746,0.7061401896640447
ecmp-mptcp,true,1540211.5158636898,1818378.3783783785,0.0851,0.602041769118242
ecmp-mptcp,true,1680410.2564102565,1900923.076923077,0.078,0.6532727080469494
ecmp-mptcp,true,1853917.963224894,2097906.647807638,0.0707,0.9394603496326324
ecmp-mptcp,true,1778453.1886024424,2012347.3541383988,0.0737,0.5716719602824631
ecmp-mptcp,true,1807889.655172414,2044634.4827586208,0.0725,0.9063317762723471
ecmp-mptcp,true,1783292.5170068028,2041251.7006802722,0.0735,0.6139592745367641
ecmp-mptcp,true,1708891.7861799216,1934106.9100391134,0.0767,0.34926636781436
ecmp-mptcp,true,1722365.308804205,1992588.6990801576,0.0761,0.4335529174958256
ecmp-mptcp,true,1534800.9367681497,1795222.482435597,0.0854,0.5142351141760807
ecmp-mptcp,true,1749959.9465954606,2068384.5126835783,0.0749,0.8053418447974715
ecmp-mptcp,true,1724631.5789473685,1952394.7368421054,0.076,0.6608854445038305
ecmp-mptcp,true,1843488.0450070323,2084894.5147679327,0.0711,0.9280294493276238
ecmp-mptcp,true,1740664.0106241698,2012642.7622841964,0.0753,0.5069713918698316
ecmp-mptcp,true,2010306.748466258,2274693.2515337425,0.0652,1
ecmp-mptcp,true,1724631.5789473685,1952236.8421052631,0.076,0.5195755708082365
ecmp-mptcp,true,1759355.7046979866,2013181.2080536913,0.0745,0.42150613786591123
ecmp-mptcp,true,1768852.9014844804,2003778.677462888,0.0741,0.6434836875498388
ecmp-mptcp,true,1671836.7346938776,1892321.4285714286,0.0784,0.6677018074458126
ecmp-mptcp,true,1856543.909348442,2100708.2152974503,0.0706,0.7392288215004885
ecmp-mptcp,true,1749959.9465954606,2068464.619492657,0.0749,0.5782276364504957
ecmp-mptcp,true,1843488.0450070323,2108073.136427567,0.0711,0.6716918223210124
ecmp-mptcp,true,1745299.6005326232,2041038.6151797604,0.0751,0.6546707896265418
ecmp-mptcp,true,1773640.054127199,2051393.7753721247,0.0739,0.38526714918879357
ecmp-mptcp,true,1761720.430107527,1994220.430107527,0.0744,0.33097026911271327
ecmp-mptcp,true,1661242.0785804817,1880304.1825095057,0.0789,0.7871514071055647
ecmp-mptcp,true,1733756.6137566138,1963386.2433862435,0.0756,0.4242077827061137
ecmp-mptcp,true,1747626.6666666667,1998293.3333333335,0.075,0.6088002079812816
ecmp-mptcp,true,1848688.293370945,2090775.7404795485,0.0709,0.8652579967312631
ecmp-mptcp,true,1736052.9801324503,1964344.3708609273,0.0755,0.35449173932996786
ecmp-mptcp,true,2025842.3493044823,2292272.024729521,0.0647,1
ecmp-mptcp,true,1736052.9801324503,1987655.629139073,0.0755,0.6388917271210108
ecmp-mptcp,true,1726903.8208168645,1953992.0948616602,0.0759,0.48408449968665135
ecmp-mptcp,true,1518794.9015063732,1775341.8308227113,0.0863,0.9280626090327583
ecmp-mptcp,true,1654949.4949494947,1873510.101010101,0.0792,0.4476780671477879
ecmp-mptcp,true,1843488.0450070323,2084894.5147679327,0.0711,0.9421380449980933
ecmp-mptcp,true,1731466.3143989432,1958678.996036988,0.0757,0.3516821312688564
ecmp-mptcp,true,1833174.8251748253,2074265.7342657344,0.0715,0.784659175078831
ecmp-mptcp,true,1771243.2432432433,2027378.3783783785,0.074,0.6097824673213241
ecmp-mptcp,true,1780869.5652173914,2015570.652173913,0.0736,0.675848307030652
ecmp-mptcp,true,1691251.612903226,1935251.612903226,0.0775,0.5896445982072653
ecmp-mptcp,true,1759355.7046979866,2012536.912751678,0.0745,0.3803346388781784
ecmp-mptcp,true,1736052.9801324503,2007549.6688741723,0.0755,0.6440140725381556
ecmp-mptcp,true,1695627.4256144892,1919249.676584735,0.0773,0.5628319524113023
ecmp-mptcp,true,1820444.4444444445,2081388.888888889,0.072,0.7628326512328711
ecmp-mptcp,true,1790601.0928961749,2026256.830601093,0.0732,0.45081578563439184
ecmp-mptcp,true,2032124.0310077518,2299379.8449612404,0.0645,1
ecmp-mptcp,true,1706666.6666666667,1931901.0416666667,0.0768,0.5535698295675013
ecmp-mptcp,true,1761720.430107527,2038870.9677419357,0.0744,0.5795610844515084
ecmp-mptcp,true,1722365.308804205,1991879.1064388962,0.0761,0.7006785740699653
ecmp-mptcp,true,1861818.1818181816,2106846.590909091,0.0704,0.7100551491708476
ecmp-mptcp,true,1676112.5319693093,1896521.7391304346,0.0782,0.4066798288910826
ecmp-mptcp,true,1768852.9014844804,2001970.310391363,0.0741,0.5625644681754748
ecmp-mptcp,true,1843488.0450070323,2085935.3023909987,0.0711,0.6382328639790684
ecmp-mptcp,true,1764091.5208613726,2041453.5666218034,0.0743,0.5576634606900204
ecmp-mptcp,true,1771243.2432432433,2005486.4864864866,0.074,0.7396630781499203
ecmp-mptcp,true,1759355.7046979866,1990067.1140939598,0.0745,0.7101663090128755
ecmp-mptcp,true,1736052.9801324503,1986940.3973509935,0.0755,0.6143683244872551
ecmp-mptcp,true,1525867.2875436554,1784144.3538998836,0.0859,0.6375336949648907
ecmp-mptcp,true,1733756.6137566138,3457989.417989418,0.0756,0.4764220252029686
ecmp-mptcp,true,1846084.5070422536,2089042.253521127,0.071,0.5947630122704307
ecmp-mptcp,true,1549314.4208037825,1773806.1465721042,0.0846,0.43269053330872853
ecmp-mptcp,true,2016492.3076923075,2281692.3076923075,0.065,1
ecmp-mptcp,true,1691251.612903226,1956774.1935483871,0.0775,0.5311064104000897
ecmp-mptcp,true,1740664.0106241698,1995458.1673306772,0.0753,0.7439104087452472
ecmp-mptcp,true,1740664.0106241698,1970225.7636122177,0.0753,0.38092083641442775
ecmp-mptcp,true,1472719.1011235956,1740314.6067415732,0.089,0.5681378015141734
ecmp-mptcp,true,1864466.5718349929,2110014.224751067,0.0703,0.6164145611702128
ecmp-mptcp,true,1542023.5294117646,1783694.1176470588,0.085,0.4698819824957231
ecmp-mptcp,true,1815401.6620498614,2098282.5484764543,0.0722,0.7755662038743498
ecmp-mptcp,true,1773640.054127199,2007063.5994587282,0.0739,0.5739482401015386
ecmp-mptcp,true,1759355.7046979866,1990389.2617449665,0.0745,0.4477931051143913
ecmp-mptcp,true,1711122.7154046998,1938381.2010443865,0.0766,0.6225472109482441
ecmp-mptcp,true,1522322.880371661,1778815.331010453,0.0861,0.6735803251002745
ecmp-mptcp,true,1742978.7234042552,1995372.3404255318,0.0752,0.48842508202697776
ecmp-mptcp,true,1749959.9465954606,1980267.0226969293,0.0749,0.5256811931157674
ecmp-mptcp,true,1896845.1519536905,2146657.0188133144,0.0691,0.9460317865251664
ecmp-mptcp,true,1776043.3604336043,2032601.6260162601,0.0738,0.33249547824236625
ps-mptcp,true,1802916.0935350757,2086382.393397524,0.0727,0.8803045779552419
ps-mptcp,true,1747626.6666666667,2021200,0.075,0.9060318446973319
ps-mptcp,true,1768852.9014844804,2068717.9487179487,0.0741,0.9297185832120329
ps-mptcp,true,1859177.3049645391,2103687.9432624117,0.0705,0.9726011227112954
ps-mptcp,true,1776043.3604336043,2031382.1138211382,0.0738,0.8356894398858365
ps-mptcp,true,1742978.7234042552,1972686.170212766,0.0752,0.8543701621820863
ps-mptcp,true,1764091.5208613726,1997900.403768506,0.0743,0.9391861112517081
ps-mptcp,true,1736052.9801324503,1988158.940397351,0.0755,0.8305998229305002
ps-mptcp,true,1780869.5652173914,2018559.7826086958,0.0736,0.8749469964664311
ps-mptcp,true,1785722.0708446866,2065258.855585831,0.0734,0.886698642957417
ps-mptcp,true,1780869.5652173914,2015733.6956521738,0.0736,0.890546965040338
ps-mptcp,true,1864466.5718349929,2109672.830725462,0.0703,0.9242110773219003
ps-mptcp,true,1805399.4490358126,2111845.7300275485,0.0726,0.8581087131727411
ps-mptcp,true,1754645.2476572958,2009451.1378848727,0.0747,0.7311686540409945
ps-mptcp,true,1768852.9014844804,2073792.1727395412,0.0741,0.921005945531262
ps-mptcp,true,1724631.5789473685,2016447.3684210526,0.076,0.8538555827947404
ps-mptcp,true,1123153.384747215,1359485.8611825192,0.1167,0.8439295289161242
ps-mptcp,true,1551147.9289940828,1954532.544378698,0.0845,0.9173813544258798
ps-mptcp,true,1883218.3908045979,2153333.3333333335,0.0696,0.9504096593359206
ps-mptcp,true,1280000,2488535.15625,0.1024,0.7890496792480979
ps-mptcp,true,1321290.322580645,1731028.2258064516,0.0992,0.8707102871977934
ps-mptcp,true,1606274.5098039214,1958504.901960784,0.0816,0.8886059338997376
ps-mptcp,true,1275019.4552529182,1795564.2023346303,0.1028,0.8944756735801511
ps-mptcp,true,1449911.5044247787,1794756.6371681418,0.0904,0.9010863286977385
ps-mptcp,true,1358259.067357513,1896725.3886010363,0.0965,0.8398212384832802
ps-mptcp,true,1785722.0708446866,2022534.059945504,0.0734,0.8918513000432547
ps-mptcp,true,1529428.2380396733,2347957.9929988333,0.0857,0.9446636164153321
ps-mptcp,true,1665463.7865311308,1904345.6162642946,0.0787,0.9893586121306541
ps-mptcp,true,1482714.9321266967,1886040.7239819004,0.0884,0.9502006109515342
ps-mptcp,true,992218.01665405,1288508.7055261165,0.1321,0.8058059384941676
ps-mptcp,true,1255478.927203065,1734616.8582375478,0.1044,0.8582979449457799
ps-mptcp,true,1300317.4603174604,2080674.603174603,0.1008,0.8189374632425015
ps-mptcp,true,1795506.8493150687,2054493.1506849315,0.073,0.9050084479845522
ps-mptcp,true,1766469.0026954177,2023288.409703504,0.0742,0.8337480007108583
ps-mptcp,true,1793050.6155950753,2030861.8331053352,0.0731,0.8066857937749957
ps-mptcp,true,1875135.9084406293,2120686.69527897,0.0699,0.979360465116279
ps-mptcp,true,1788158.2537517052,2090559.3451568894,0.0733,0.8847459584295612
ps-mptcp,true,1766469.0026954177,2066738.5444743934,0.0742,0.8352869406074339
ps-mptcp,true,1524093.023255814,1820604.6511627908,0.086,0.9021203042175616
ps-mptcp,true,1802916.0935350757,2041540.5777166437,0.0727,0.8344953220582944
ps-mptcp,true,1711122.7154046998,1937101.8276762401,0.0766,0.7994719827586207
ps-mptcp,true,1800439.5604395603,2060357.1428571427,0.0728,0.6857056650696705
ps-mptcp,true,1807889.655172414,2114482.7586206896,0.0725,0.8636425094645754
ps-mptcp,true,1875135.9084406293,2190214.592274678,0.0699,0.8986194590533434
