routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ecmp-mptcp,true,268121.77497302357,674135.5521348465,97.7705,0.6797422997301621
ecmp-mptcp,true,257955.57532347276,648210.8602619271,101.6237,0.9151408659215825
ecmp-mptcp,true,251107.5711407911,646415.9524728651,104.3951,0.7748092441979593
ecmp-mptcp,true,254320.09654974367,645994.8931084127,103.0764,0.6686944366698002
ecmp-mptcp,true,328514.8383329135,792544.3533379199,79.7967,0.8302141523535006
ecmp-mptcp,true,244186.06817432385,579605.0270972165,107.3542,0.8628307269608804
ecmp-mptcp,true,287613.9400775034,704303.2155568526,91.1444,0.7131967354109815
ecmp-mptcp,true,272635.56168475264,706586.8553682823,96.1518,0.7970640571897999
ecmp-mptcp,true,267257.7090040841,674775.2088460604,98.0866,0.547242543175527
ecmp-mptcp,true,262675.12911106256,663298.9705183882,99.7978,0.8601304033445205
ecmp-mptcp,true,244086.70933044312,585418.0202778638,107.3979,0.7186582452255459
ecmp-mptcp,true,288366.93566129555,735781.7931410769,90.9064,0.6232275599957503
ecmp-mptcp,true,450722.8236200327,1046569.5107357532,58.1608,0.7207849624087214
ecmp-mptcp,true,304172.76805294806,746683.7157384438,86.1826,0.7655918785548921
ecmp-mptcp,true,289447.5912860093,714886.0622522553,90.567,0.7336651966655844
ecmp-mptcp,true,319644.9256807014,744833.4491714527,82.011,0.7818086278671129
ecmp-mptcp,true,355589.79882231494,840541.8816102353,73.7209,0.7665661242727768
ecmp-mptcp,true,590082.1609454136,653333.8885762522,44.425,1
ecmp-mptcp,true,401816.06933191087,926877.3049580164,65.2398,0.8283133654721953
ecmp-mptcp,true,339939.4928865887,794543.7522450265,77.1149,0.5551517364108904
ecmp-mptcp,true,326184.85019292816,773221.0231352041,80.3667,0.5871097836206635
ecmp-mptcp,true,323721.29323534825,762119.4319959792,80.9783,0.6297680724294391
ecmp-mptcp,true,293154.46568957454,735388.4399553576,89.4218,0.9335456399836451
ecmp-mptcp,true,560581.1444542576,614808.7479604558,46.7629,1
ecmp-mptcp,true,317881.3086605389,770911.7696990275,82.466,0.7416091616072812
ecmp-mptcp,true,316963.08199393266,745036.9204243039,82.7049,0.976328599654017
ecmp-mptcp,true,296893.28019371274,711374.6875555662,88.2957,0.6884934042333466
ecmp-mptcp,true,291126.51827370183,720591.7283304847,90.0447,0.9578738485689092
ecmp-mptcp,true,694826.1238337574,759533.5559796437,37.728,1
ecmp-mptcp,true,366269.71984580415,859499.7715564759,71.5713,0.7288492691650688
ecmp-mptcp,true,287471.6935612105,689765.0935688867,91.1895,0.8575609587558504
ecmp-mptcp,true,284728.9880620716,675116.4738198656,92.0679,0.8561185614695473
ecmp-mptcp,true,275386.51116225956,665198.0380559989,95.1913,0.726445334555161
ecmp-mptcp,true,275109.6423335373,668414.4233584609,95.2871,0.7972036852407705
ecmp-mptcp,true,270723.21880389546,658659.3549586392,96.831,0.78788028354927
ecmp-mptcp,true,266047.71816868917,654583.0571982702,98.5327,0.715309603762584
ecmp-mptcp,true,260356.91016860268,622399.7679924994,100.6864,0.778759900506635
ecmp-mptcp,true,296195.19161889097,718639.335260181,88.5038,0.9257420743331395
ecmp-mptcp,true,419809.235854435,966144.9371913214,62.4436,0.6274975411174277
ecmp-mptcp,true,292599.83949334366,741297.6929679556,89.5913,0.9298117254288147
ecmp-mptcp,true,310224.4459855103,768519.3381411432,84.5014,0.8638391784387487
ecmp-mptcp,true,343745.3695265345,826092.7523993228,76.2611,0.8597243302420393
ecmp-mptcp,true,267381.46819908364,676159.3697343565,98.0412,0.9428829387610094
ecmp-mptcp,true,249772.75542385638,593282.1929816203,104.953,0.9310365269152906
ecmp-mptcp,true,731871.6968700357,797854.5045409749,35.8183,1
ecmp-mptcp,true,315420.77721747145,778391.4435568582,83.1093,0.7402318833277606
ecmp-mptcp,true,311800.76646581234,768329.0236481584,84.0742,0.7225366352852183
ecmp-mptcp,true,302259.5906055823,767091.2656912812,86.7281,0.893240562697821
ecmp-mptcp,true,280622.1250694479,718250.7148186646,93.4153,0.9317800713335364
ecmp-mptcp,true,263274.765116174,661852.355868455,99.5705,0.7088373466849589
ecmp-mptcp,true,269641.6558834965,676761.6134228354,97.2194,0.8595255256916665
ecmp-mptcp,true,256789.42687088824,651096.0256726734,102.0852,0.6082407202299558
ecmp-mptcp,true,254259.90874949563,624680.7590241783,103.1008,0.7467283064034622
ecmp-mptcp,true,251086.1652810237,621028.0832152026,104.404,0.5812690192192934
ecmp-mptcp,true,375402.046678944,913446.1307571795,69.8302,0.7845747163765576
ecmp-mptcp,true,273458.62402777316,683414.8529559035,95.8624,0.8923296605674352
ecmp-mptcp,true,249510.53317381046,617256.7966168966,105.0633,0.9508444106822279
ecmp-mptcp,true,284055.4709154782,729819.6263363321,92.2862,0.8715349273275389
ecmp-mptcp,true,259428.304508406,651816.4652418483,101.0468,0.8915910921773107
ecmp-mptcp,true,316978.7958520353,775537.3104008668,82.7008,0.7529209775439525
ecmp-mptcp,true,254591.29465282918,639873.1627537473,102.9666,0.7120373787404137
ecmp-mptcp,true,271661.1034366978,679571.0734149457,96.4967,0.9309878281394779
ecmp-mptcp,true,266179.8184066821,674489.1850233236,98.4838,0.9171532143347769
ecmp-mptcp,true,241260.49182741862,577348.1077897217,108.656,0.9218034007062911
ecmp-mptcp,true,349331.570755421,858038.9810451802,75.0416,0.7989227862804347
ecmp-mptcp,true,264823.2164811397,665677.0345586297,98.9883,0.9356551299127289
ecmp-mptcp,true,272000.1992188959,761536.6832544067,96.3764,0.6874815683514525
ecmp-mptcp,true,272178.1185172572,678718.4337797232,96.3134,0.8631486350375306
ecmp-mptcp,true,241182.8026239523,592221.6742876595,108.691,0.7682530695199563
ecmp-mptcp,true,258812.05362167454,653164.5002241147,101.2874,0.6186367595568656
ps-mptcp,true,313444.15030358685,780884.3595979597,83.6334,0.9880905202528758
ps-mptcp,true,793954.7209812978,868794.9723631408,33.0175,1
ps-mptcp,true,325279.8413704875,814498.9657564248,80.5903,0.9836349730730947
ps-mptcp,true,314801.4717891076,788565.7261434706,83.2728,0.9745217389244648
ps-mptcp,true,306378.6419454408,779450.8783678755,85.5621,0.9917984158196479
ps-mptcp,true,286554.11203358055,744055.311729694,91.4815,0.978181368875503
ps-mptcp,true,272197.33642346424,645908.1516739248,96.3066,0.9813226393422765
ps-mptcp,true,297557.50942693755,743034.5317632743,88.0986,0.9881033788249369
ps-mptcp,true,290689.40930427,731035.738483324,90.1801,0.9956054308111132
ps-mptcp,true,284685.07994496217,693483.337152389,92.0821,0.9865730278272488
ps-mptcp,true,284018.5399065204,690945.2188666735,92.2982,0.9949097902744064
ps-mptcp,true,292530.2914991865,721821.1947873401,89.6126,0.991035480243287
ps-mptcp,true,400711.100784626,980681.0792467712,65.4197,0.9937178039701118
ps-mptcp,true,307053.3100788178,783391.4501002061,85.3741,0.9717042256237609
ps-mptcp,true,307025.978634766,784351.681917788,85.3817,0.9768352164453413
ps-mptcp,true,299296.58270034153,723100.0368777452,87.5867,0.9990474454374234
ps-mptcp,true,281333.47499600233,705319.4546845806,93.1791,0.9838325669566583
ps-mptcp,true,278689.8142734125,701227.5602521714,94.063,0.9751303381712062
ps-mptcp,true,279182.8058221304,695951.4744363233,93.8969,0.9896411080090107
ps-mptcp,true,277762.00183942734,694778.5058255595,94.3772,0.9957592280574623
ps-mptcp,true,275331.2663322494,691278.4737801752,95.2104,0.9880472235027828
ps-mptcp,true,275659.0099393042,694551.9321283908,95.0972,0.9895544340537161
ps-mptcp,true,275206.6853186497,694569.1444408867,95.2535,0.9926707028383117
ps-mptcp,true,278248.1692942429,718302.302353302,94.2123,0.9951982055926338
ps-mptcp,true,789697.3987438056,863471.1331355153,33.1955,1
ps-mptcp,true,301229.76721524715,761760.9733339768,87.0246,0.9934146055463888
ps-mptcp,true,288781.17564113863,729748.9865162598,90.776,0.9845887321301728
ps-mptcp,true,283375.9424911494,719898.5595762506,92.5075,0.9938125886745659
ps-mptcp,true,293341.44987735664,731220.3238859148,89.3648,0.9919249781128733
ps-mptcp,true,841753.739251058,918062.5252869059,31.1426,1
ps-mptcp,true,308393.09578933497,770482.4053682684,85.0032,0.9896543779470826
ps-mptcp,true,287615.51787887065,732249.3112539621,91.1439,0.9911810556287386
ps-mptcp,true,283505.57831486873,730769.0893438829,92.4652,0.9827412319772545
ps-mptcp,true,281953.79143223754,727163.1131680758,92.9741,0.9785036811243716
ps-mptcp,true,280373.3119995893,723297.3896823683,93.4982,0.9892710505354787
ps-mptcp,true,276557.92235523235,677186.3134718387,94.7881,0.9993239375054028
ps-mptcp,true,271850.1373022392,685187.4942963572,96.4296,0.9767464308037487
ps-mptcp,true,282557.96532051096,713315.5484272215,92.7753,0.9896401650385569
ps-mptcp,true,282881.780442456,714470.0660738045,92.6691,0.9834229906527383
ps-mptcp,true,276261.80712975166,693422.3630172716,94.8897,0.9840497385992275
ps-mptcp,true,276499.58178678824,698233.420984072,94.8081,0.9840063751276071
ps-mptcp,true,274369.34947385604,690996.6277387848,95.5442,0.9845042057942524
ps-mptcp,true,285112.3671883242,725776.074810673,91.9441,0.986069962553828
ps-mptcp,true,286929.54823569587,730031.2384388223,91.3618,0.9893765467665834
ps-mptcp,true,460644.4425310281,1145754.3302271557,56.9081,0.9984069821716064
ps-mptcp,true,309579.65171344415,787565.6786816788,84.6774,0.9875591595668898
ps-mptcp,true,296987.1232771181,759148.1378260249,88.2678,0.9843763784989155
ps-mptcp,true,273366.5155634253,676289.8366645915,95.8947,0.9954572111254328
ps-mptcp,true,319675.3297432295,815105.5812456099,82.0032,0.9888551325339417
ps-mptcp,true,312662.4325371977,794037.5823717088,83.8425,0.9935965907535083
ps-mptcp,true,305833.1884729224,779449.2543286041,85.7147,0.9741090409107518
ps-mptcp,true,305270.47594870086,776121.0489480359,85.8727,0.9905647312941185
ps-mptcp,true,273431.8120656961,680881.5522395533,95.8718,0.9840633894841481
ps-mptcp,true,316033.7608697487,807331.0660521459,82.9481,0.9829728356877268
ps-mptcp,true,447280.5945905365,1117294.7222582428,58.6084,0.9999905947840148
ps-mptcp,true,301149.82934643875,776199.3481734727,87.0477,0.9790738326131019
ps-mptcp,true,408185.3825336568,945651.0717544509,64.2218,0.9922389294944828
ps-mptcp,true,295028.13044784754,701131.2052706747,88.8539,0.9939927656853229
