routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
static-tcp,true,1896296.2962962962,2246296.296296296,0.0054,1
static-tcp,true,860504.2016806722,1019327.7310924369,0.0119,0.269723383438584
static-tcp,true,701369.8630136986,830821.9178082192,0.0146,0.269723383438584
static-tcp,true,636024.8447204969,753416.149068323,0.0161,0.5
static-tcp,true,556521.7391304348,659239.1304347826,0.0184,0.269723383438584
static-tcp,true,522448.97959183675,618877.5510204082,0.0196,0.269723383438584
static-tcp,true,519796.9543147208,615736.040609137,0.0197,0.269723383438584
static-tcp,true,624390.243902439,739634.1463414633,0.0164,0.269723383438584
static-tcp,true,742028.9855072463,878985.5072463768,0.0138,0.269723383438584
static-tcp,true,595348.8372093023,705232.5581395349,0.0172,0.269723383438584
static-tcp,true,731428.5714285714,866428.5714285714,0.014,0.5
static-tcp,true,1828571.4285714286,2166071.4285714286,0.0056,1
static-tcp,true,553513.5135135135,655675.6756756757,0.0185,0.269723383438584
static-tcp,true,898245.6140350876,1064035.0877192982,0.0114,0.269723383438584
static-tcp,true,476279.0697674419,564186.046511628,0.0215,0.269723383438584
static-tcp,true,365714.2857142857,433214.2857142857,0.028,0.269723383438584
static-tcp,true,652229.2993630574,772611.4649681529,0.0157,0.269723383438584
static-tcp,true,509452.736318408,603482.5870646766,0.0201,0.269723383438584
static-tcp,true,572067.0391061453,677653.6312849162,0.0179,0.269723383438584
static-tcp,true,383520.5992509363,454307.1161048689,0.0267,0.269723383438584
static-tcp,true,585142.857142857,693142.857142857,0.0175,0.539446766877168
static-tcp,true,461261.26126126124,546396.3963963963,0.0222,0.25
static-tcp,true,326114.6496815287,386305.73248407646,0.0314,0.269723383438584
static-tcp,true,533333.3333333334,631770.8333333334,0.0192,0.269723383438584
static-tcp,true,975238.0952380951,1155238.0952380951,0.0105,1
static-tcp,true,344781.1447811448,408417.5084175084,0.0297,0.269723383438584
static-tcp,true,588505.7471264368,697126.4367816092,0.0174,0.269723383438584
static-tcp,true,465454.54545454547,551363.6363636364,0.022,0.5
static-tcp,true,624390.243902439,739634.1463414633,0.0164,1
static-tcp,true,316049.3827160494,374382.71604938275,0.0324,0.25
static-tcp,true,309365.5589123867,366465.25679758313,0.0331,0.25
static-tcp,true,243809.5238095238,288809.5238095238,0.042,0.25
static-tcp,true,562637.3626373626,666483.5164835164,0.0182,0.269723383438584
static-tcp,true,489952.15311004786,580382.7751196172,0.0209,0.269723383438584
static-tcp,true,459192.8251121076,543946.1883408072,0.0223,0.269723383438584
static-tcp,true,492307.6923076923,583173.076923077,0.0208,0.5
static-tcp,true,371014.49275362317,439492.7536231884,0.0276,0.269723383438584
static-tcp,true,313149.8470948012,370948.0122324159,0.0327,0.269723383438584
static-tcp,true,341333.3333333334,404333.3333333334,0.03,0.269723383438584
static-tcp,true,255361.5960099751,302493.7655860349,0.0401,0.269723383438584
static-tcp,true,237587.00696055684,281438.5150812065,0.0431,0.269723383438584
static-tcp,true,313149.8470948012,370948.0122324159,0.0327,0.269723383438584
static-tcp,true,336842.1052631579,399013.15789473685,0.0304,0.269723383438584
static-tcp,true,489952.15311004786,580382.7751196172,0.0209,0.539446766877168
static-tcp,true,538947.3684210527,638421.052631579,0.019,0.269723383438584
static-tcp,true,525128.2051282051,622051.282051282,0.0195,0.269723383438584
static-tcp,true,367025.08960573474,434767.0250896057,0.0279,0.269723383438584
static-tcp,true,541798.9417989418,641798.9417989418,0.0189,0.269723383438584
static-tcp,true,530569.9481865285,628497.4093264248,0.0193,0.269723383438584
static-tcp,true,407968.12749003986,483266.9322709163,0.0251,0.269723383438584
static-tcp,true,230112.3595505618,272584.2696629214,0.0445,0.269723383438584
static-tcp,true,439484.9785407725,520600.8583690987,0.0233,0.25
static-tcp,true,793798.449612403,940310.0775193798,0.0129,0.5
static-tcp,true,957009.3457943925,1133644.8598130841,0.0107,1
static-tcp,true,43910.80617495712,107753.00171526587,0.2332,0.2693766704026209
static-tcp,true,501960.7843137255,594607.8431372548,0.0204,0.269723383438584
static-tcp,true,1765517.2413793104,2091379.3103448278,0.0058,1
static-tcp,true,800000,947656.25,0.0128,0.269723383438584
static-tcp,true,478504.67289719626,566822.4299065421,0.0214,0.269723383438584
static-tcp,true,1163636.3636363635,1378409.0909090908,0.0088,0.539446766877168
static-tcp,true,806299.2125984252,955118.1102362205,0.0127,0.539446766877168
static-tcp,true,731428.5714285714,866428.5714285714,0.014,0.269723383438584
static-tcp,true,716083.9160839161,848251.7482517483,0.0143,0.269723383438584
static-tcp,true,395366.7953667954,931583.0115830116,0.0259,0.2667882237836876
static-tcp,true,445217.39130434784,527391.304347826,0.023,0.269723383438584
static-tcp,true,416260.162601626,493089.43089430896,0.0246,0.25
static-tcp,true,595348.8372093023,705232.5581395349,0.0172,0.269723383438584
static-tcp,true,568888.8888888889,673888.888888889,0.018,0.25
static-tcp,true,314110.4294478528,372085.88957055216,0.0326,0.269723383438584
static-tcp,true,1150561.797752809,1362921.3483146068,0.0089,1
ecmp-mptcp,true,113525.49889135254,146718.40354767183,0.0902,0.3785902277148415
ecmp-mptcp,true,128000,330237.5,0.08,0.3267439604152518
ecmp-mptcp,true,140852.8198074278,180852.8198074278,0.0727,0.4812591508052709
ecmp-mptcp,true,207287.44939271256,331174.08906882594,0.0494,0.8732785310131312
ecmp-mptcp,true,151703.7037037037,194429.6296296296,0.0675,0.3182347235693501
ecmp-mptcp,true,31811.121466293876,82298.85057471263,0.3219,0.26161883967560823
ecmp-mptcp,true,114669.65285554311,146965.2855543113,0.0893,0.27158347818889167
ecmp-mptcp,true,108130.93980992607,293115.1003167898,0.0947,0.4342664776754075
ecmp-mptcp,true,136351.53129161117,174354.19440745673,0.0751,0.389377899369573
ecmp-mptcp,true,142420.02781641166,184561.89151599442,0.0719,0.34924728918833564
ecmp-mptcp,true,120754.71698113208,154528.30188679244,0.0848,0.5026852846401718
ecmp-mptcp,true,108359.78835978836,290349.20634920633,0.0945,0.276085392180379
ecmp-mptcp,true,9960.120610835522,25373.018188892132,1.0281,0.32810186556114895
ecmp-mptcp,true,9901.373041964804,25675.88474182943,1.0342,0.606459761818838
ecmp-mptcp,true,223093.6819172113,288061.00217864924,0.0459,0.6160656043239213
ecmp-mptcp,true,108359.78835978836,271767.1957671958,0.0945,0.5423315975138585
ecmp-mptcp,true,102195.60878243513,148163.67265469063,0.1002,0.5281018782014798
ecmp-mptcp,true,145868.94586894588,258803.4188034188,0.0702,0.8937426210153483
ecmp-mptcp,true,132129.03225806452,171406.4516129032,0.0775,0.38198757763975155
ecmp-mptcp,true,95078.92293407614,170129.99071494892,0.1077,0.6427318647397222
ecmp-mptcp,true,119766.08187134501,157403.5087719298,0.0855,0.6147451123698155
ecmp-mptcp,true,101890.54726368158,131800.99502487562,0.1005,0.5655849701110163
ecmp-mptcp,true,103643.72469635628,313198.38056680164,0.0988,0.5873215126314137
ecmp-mptcp,true,108130.93980992607,140654.6990496304,0.0947,0.4505479637396834
ecmp-mptcp,true,126108.37438423646,163743.84236453203,0.0812,0.4906273062730627
ecmp-mptcp,true,138565.62922868744,187713.1258457375,0.0739,0.48233657858136303
ecmp-mptcp,true,131450.57766367137,191630.29525032092,0.0779,0.7224157955865272
ecmp-mptcp,true,212448.132780083,278132.78008298756,0.0482,0.7860912395918846
ecmp-mptcp,true,123821.03990326481,159733.97823458284,0.0827,0.33466761248479937
ecmp-mptcp,true,124422.8432563791,182162.81895504254,0.0823,0.5016731361263552
ecmp-mptcp,true,156814.70137825422,256983.1546707504,0.0653,0.5944806575031883
ecmp-mptcp,true,97061.61137440758,157630.33175355452,0.1055,0.5162031288800596
ecmp-mptcp,true,108245.24312896405,139513.7420718816,0.0946,0.2852511455001297
ecmp-mptcp,true,105458.2904222451,136271.88465499485,0.0971,0.6213373403456047
ecmp-mptcp,true,112527.47252747254,146769.23076923078,0.091,0.4986559139784946
ecmp-mptcp,true,115315.31531531531,172128.37837837837,0.0888,0.385478664380107
ecmp-mptcp,true,224070.0218818381,300350.10940919037,0.0457,1
ecmp-mptcp,true,104810.64483111567,136724.66734902764,0.0977,0.5747848537005164
ecmp-mptcp,true,95700.93457943926,123457.94392523365,0.107,0.48437958345555876
ecmp-mptcp,true,143016.75977653632,230027.93296089387,0.0716,0.4388255355430033
ecmp-mptcp,true,147976.87861271677,199421.9653179191,0.0692,0.2796465915538624
ecmp-mptcp,true,131450.57766367137,192939.66623876765,0.0779,0.4238100609068351
ecmp-mptcp,true,113024.2825607064,145209.71302428257,0.0906,0.6844953173777315
ecmp-mptcp,true,156574.9235474006,200672.78287461773,0.0654,0.5288097348698525
ecmp-mptcp,true,168144.49917898193,219967.1592775041,0.0609,0.7255199306759099
ecmp-mptcp,true,134207.07732634337,176343.38138925293,0.0763,0.4894863213038417
ecmp-mptcp,true,127521.79327521793,165105.85305105854,0.0803,0.3180596871701372
ecmp-mptcp,true,149707.6023391813,193304.09356725146,0.0684,0.44026371870005326
ecmp-mptcp,true,132299.7416020672,193294.57364341087,0.0774,0.558746638780998
ecmp-mptcp,true,125336.59730722156,163427.17258261936,0.0817,0.5796145164090989
ecmp-mptcp,true,119766.08187134501,155649.12280701753,0.0855,0.5589717741935484
ecmp-mptcp,true,115706.21468926554,148836.1581920904,0.0885,0.4732001724385687
ecmp-mptcp,true,38950.17116774439,96998.85888170406,0.2629,0.8519075298991114
ecmp-mptcp,true,373722.62773722626,478978.102189781,0.0274,0.3825792910447761
ecmp-mptcp,true,173559.32203389832,225966.10169491527,0.059,0.6946644435181326
ecmp-mptcp,true,142024.9653259362,184077.66990291263,0.0721,0.33511766488233513
ecmp-mptcp,true,165695.7928802589,212362.45954692556,0.0618,0.36368203639611474
ecmp-mptcp,true,142618.3844011142,181225.62674094707,0.0718,0.3989942352508279
ecmp-mptcp,true,153984.96240601502,223248.12030075188,0.0665,0.7016731260043483
ecmp-mptcp,true,112775.33039647577,144801.76211453744,0.0908,0.37019934677328525
ecmp-mptcp,true,133507.1707953064,172073.01173402867,0.0767,0.46854586765123546
ecmp-mptcp,true,107225.13089005236,139853.40314136125,0.0955,0.5198505371321813
ecmp-mptcp,true,128967.25440806046,168425.69269521412,0.0794,0.3699103784023014
ecmp-mptcp,true,170666.6666666667,219533.33333333334,0.06,0.6062223858615611
ecmp-mptcp,true,170666.6666666667,219800,0.06,0.6318512840168647
ecmp-mptcp,true,212448.132780083,272282.1576763485,0.0482,0.32385746717994274
ecmp-mptcp,true,289265.53672316385,370734.46327683615,0.0354,1
ecmp-mptcp,true,170951.5859766277,276861.43572621036,0.0599,0.5042568718073461
ecmp-mptcp,true,161259.84251968504,207055.11811023622,0.0635,0.46387242449901217
ecmp-mptcp,true,115706.21468926554,148700.56497175142,0.0885,0.5548996458087367
ps-mptcp,true,112527.47252747254,146813.18681318683,0.091,0.6005034160373967
ps-mptcp,true,215126.05042016806,314201.6806722689,0.0476,0.8060795515791743
ps-mptcp,true,200391.38943248533,260587.084148728,0.0511,0.8909407199250636
ps-mptcp,true,167594.10801963994,275302.78232405894,0.0611,0.8206967213114754
ps-mptcp,true,193572.7788279773,283327.0321361059,0.0529,0.38002028397565923
ps-mptcp,true,124574.2092457421,159951.33819951338,0.0822,0.6198378276447294
ps-mptcp,true,152154.53194650818,199643.38781575038,0.0673,0.47849002849002853
ps-mptcp,true,123821.03990326481,161886.3361547763,0.0827,0.5088172696868349
ps-mptcp,true,33333.333333333336,53997.395833333336,0.3072,0.4838973162193699
ps-mptcp,true,43170.32040472175,60092.748735244524,0.2372,0.5594191522762951
ps-mptcp,true,168698.51729818783,273146.62273476116,0.0607,0.8747493932679118
ps-mptcp,true,44872.918492550394,62191.06047326906,0.2282,0.7526516758591429
ps-mptcp,true,184504.5045045045,276630.63063063065,0.0555,0.4978920741989882
ps-mptcp,true,180599.64726631393,237954.14462081128,0.0567,0.5660345695586507
ps-mptcp,true,308433.734939759,395301.2048192771,0.0332,0.7464452280741668
ps-mptcp,true,137081.65997322623,179665.327978581,0.0747,0.6291486967935496
ps-mptcp,true,200000,259921.875,0.0512,0.6593812375249501
ps-mptcp,true,173853.98981324278,228862.47877758913,0.0589,0.651207729468599
ps-mptcp,true,196923.07692307694,254961.53846153847,0.052,0.5664843616475816
ps-mptcp,true,113274.33628318585,147057.5221238938,0.0904,0.5677314656645029
ps-mptcp,true,221645.02164502165,288831.16883116885,0.0462,0.8329588014981273
ps-mptcp,true,125490.19607843137,161421.56862745096,0.0816,0.6026720351390923
ps-mptcp,true,544680.8510638297,698085.1063829787,0.0188,1
ps-mptcp,true,140273.97260273973,204986.30136986304,0.073,0.6948365527488856
ps-mptcp,true,136351.53129161117,178535.28628495338,0.0751,0.5180834621329211
ps-mptcp,true,167868.8524590164,219540.9836065574,0.061,0.6766370250606305
ps-mptcp,true,187202.92504570386,302815.35648994514,0.0547,0.6335679314565483
ps-mptcp,true,150146.6275659824,219061.58357771262,0.0682,0.5725015328019619
ps-mptcp,true,148191.02749638207,240057.8871201158,0.0691,0.6003184713375797
ps-mptcp,true,100787.40157480315,162342.51968503938,0.1016,0.8196183661299941
ps-mptcp,true,128967.25440806046,208060.4534005038,0.0794,0.6307269395235187
ps-mptcp,true,192843.6911487759,248775.8945386064,0.0531,0.8861014220552723
ps-mptcp,true,96603.77358490566,142207.54716981133,0.106,0.74446858949032
ps-mptcp,true,142817.29428172944,233068.34030683403,0.0717,0.6415463759213759
ps-mptcp,true,103538.92821031345,135308.39231547018,0.0989,0.6866789819376027
ps-mptcp,true,110583.15334773218,143131.74946004318,0.0926,0.5815198315198316
ps-mptcp,true,122634.73053892214,158778.44311377246,0.0835,0.9153548743441038
ps-mptcp,true,119626.16822429906,155747.66355140187,0.0856,0.8696673189823875
ps-mptcp,true,90140.84507042253,133776.4084507042,0.1136,0.5850400369571913
ps-mptcp,true,109635.97430406853,145406.85224839402,0.0934,0.65406472741283
ps-mptcp,true,400000,512656.25,0.0256,1
ps-mptcp,true,196168.5823754789,253295.0191570881,0.0522,0.64560546875
ps-mptcp,true,156574.9235474006,230244.6483180428,0.0654,0.566772056609455
ps-mptcp,true,179649.12280701753,291017.5438596491,0.057,0.6138701798534527
ps-mptcp,true,135270.80581241744,175984.14795244386,0.0757,0.8743764767655553
ps-mptcp,true,135809.01856763926,179588.85941644563,0.0754,0.8996146691469573
ps-mptcp,true,156574.9235474006,228440.36697247706,0.0654,0.4650728427344042
ps-mptcp,true,111304.34782608696,144913.04347826086,0.092,0.6018418201516793
ps-mptcp,true,164895.33011272142,212914.653784219,0.0621,0.7134685948629398
ps-mptcp,true,109284.95197438633,143927.4279615795,0.0937,0.7795375722543352
ps-mptcp,true,100589.39096267191,164282.90766208252,0.1018,0.6536898061288305
ps-mptcp,true,187889.90825688074,243779.81651376147,0.0545,0.8636245449817993
ps-mptcp,true,154449.47209653092,203665.15837104074,0.0663,0.6333489681050657
ps-mptcp,true,125798.52579852579,185000,0.0814,0.9067316955684008
ps-mptcp,true,216033.7552742616,282109.7046413502,0.0474,0.9343208496366685
ps-mptcp,true,135449.73544973545,200039.68253968254,0.0756,0.5229976483607691
ps-mptcp,true,696598.6394557824,892789.1156462586,0.0147,1
ps-mptcp,true,146704.87106017192,192593.12320916905,0.0698,0.7584631008801624
ps-mptcp,true,169817.57877280266,278689.8839137645,0.0603,0.7409611992945326
ps-mptcp,true,219742.48927038626,287832.6180257511,0.0466,0.6257230826646762
ps-mptcp,true,247941.8886198547,408692.4939467312,0.0413,0.7501777777777778
ps-mptcp,true,173559.32203389832,226101.69491525425,0.059,0.6480761756704236
ps-mptcp,true,158268.93353941268,203029.36630602783,0.0647,0.5107309486780716
ps-mptcp,true,1003921.568627451,1286666.6666666665,0.0102,1
ps-mptcp,true,136351.53129161117,198428.76165113182,0.0751,0.650969771099074
ps-mptcp,true,144632.76836158193,257485.8757062147,0.0708,0.6571737563085797
ps-mptcp,true,134207.07732634337,194731.3237221494,0.0763,0.8713347407928689
ps-mptcp,true,186520.9471766849,273005.4644808743,0.0549,0.6988064155165983
ps-mptcp,true,168976.897689769,216963.69636963695,0.0606,0.6545201115093588
ps-mptcp,true,182206.4056939502,265907.4733096085,0.0562,0.7835570469798658
ps-tcp,true,330322.5806451613,445225.8064516129,0.031,0.7224664991624791
ps-tcp,true,157781.20184899846,222003.0816640986,0.0649,0.5596643878185208
ps-tcp,true,308433.734939759,414759.0361445783,0.0332,0.9862483884830253
ps-tcp,true,263917.52577319584,356907.21649484534,0.0388,0.5643951744375612
ps-tcp,true,218803.41880341878,262478.6324786325,0.0468,0.6541001064962726
ps-tcp,true,218336.88699360343,332963.7526652452,0.0469,0.7648902821316614
ps-tcp,true,169256.19834710745,205454.54545454547,0.0605,0.44622343480758186
