routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
static-tcp,true,1843488.0450070323,2015780.5907172996,0.0711,0.26082446460028824
static-tcp,true,1833174.8251748253,2004503.4965034968,0.0715,0.26082446460028824
static-tcp,true,1843488.0450070323,2016877.6371308018,0.0711,0.26096641285832833
static-tcp,true,1838316.9705469846,2010126.2272089762,0.0713,0.26082446460028824
static-tcp,true,1833174.8251748253,2004503.4965034968,0.0715,0.26082446460028824
static-tcp,true,1848688.293370945,2021636.1071932297,0.0709,0.2608463027938329
static-tcp,true,1861818.1818181816,2035823.8636363635,0.0704,0.26082446460028824
static-tcp,true,1885928.0575539568,2062187.050359712,0.0695,0.26082446460028824
static-tcp,true,1864466.5718349929,2038719.772403983,0.0703,0.25
static-tcp,true,1835742.2969187673,2007310.9243697478,0.0714,0.26082446460028824
static-tcp,true,1875135.9084406293,2050386.2660944206,0.0699,0.25
static-tcp,true,1830614.5251396648,2001703.9106145252,0.0716,0.26082446460028824
static-tcp,true,1859177.3049645391,2034042.5531914895,0.0705,0.25
static-tcp,true,1869786.0199714694,2044536.3766048504,0.0701,0.26082446460028824
static-tcp,true,1861818.1818181816,2035823.8636363635,0.0704,0.26082446460028824
static-tcp,true,1843488.0450070323,2016877.6371308018,0.0711,0.26096641285832833
static-tcp,true,1825515.3203342617,1996128.1337047352,0.0718,0.26082446460028824
static-tcp,true,1848688.293370945,2021466.8547249646,0.0709,0.26082446460028824
static-tcp,true,1820444.4444444445,1990583.3333333335,0.072,0.26082446460028824
static-tcp,true,1848688.293370945,2021466.8547249646,0.0709,0.26082446460028824
static-tcp,true,1825515.3203342617,1996128.1337047352,0.0718,0.26082446460028824
static-tcp,true,1859177.3049645391,2032936.1702127662,0.0705,0.26082446460028824
static-tcp,true,1851299.4350282485,2024322.0338983051,0.0708,0.26082446460028824
static-tcp,true,1867122.507122507,2041623.9316239317,0.0702,0.25
static-tcp,true,1856543.909348442,2030056.6572237962,0.0706,0.26082446460028824
static-tcp,true,1877822.3495702005,2053323.782234957,0.0698,0.26082446460028824
static-tcp,true,1833174.8251748253,2004503.4965034968,0.0715,0.25
static-tcp,true,1833174.8251748253,2004503.4965034968,0.0715,0.26082446460028824
static-tcp,true,1851299.4350282485,2024322.0338983051,0.0708,0.25
static-tcp,true,1828061.3668061367,2021450.4881450487,0.0717,0.26089006969644607
static-tcp,true,1807889.655172414,1976855.1724137932,0.0725,0.26082446460028824
static-tcp,true,1861818.1818181816,2058948.8636363635,0.0704,0.26091166983468694
static-tcp,true,1843488.0450070323,2015780.5907172996,0.0711,0.26082446460028824
static-tcp,true,1843488.0450070323,2015780.5907172996,0.0711,0.26082446460028824
static-tcp,true,1872457.1428571427,2047457.1428571427,0.07,0.26082446460028824
