routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ecmp-mptcp,true,2123600.165906263,2425433.4301119866,0.2411,0.7564184819164899
ecmp-mptcp,true,2021318.5945519146,2363529.4117647056,0.2533,0.6889130795006813
ecmp-mptcp,true,1996101.364522417,2287477.582846004,0.2565,0.468413102902105
ecmp-mptcp,true,1804087.3854827343,2931804.0873854826,0.2838,0.7629622248114307
ecmp-mptcp,true,1928436.9114877589,2227743.879472693,0.2655,0.8548184761244074
ecmp-mptcp,true,1849710.9826589597,3083851.1560693644,0.2768,0.7160359539158381
ecmp-mptcp,true,1970746.7282525022,2273025.404157044,0.2598,0.7569913755089064
ecmp-mptcp,true,1895594.2243613475,2260673.824509441,0.2701,0.46308981367439433
ecmp-mptcp,true,2073714.0542729849,2366909.680032402,0.2469,0.7799395683299613
ecmp-mptcp,true,1777160.7080874695,2131454.3561263448,0.2881,0.5397049724378445
ecmp-mptcp,true,2247585.601404741,2567901.6681299387,0.2278,1
ecmp-mptcp,true,1973785.6592135697,2262528.9128758674,0.2594,0.39744777445499063
ecmp-mptcp,true,1712947.4740715958,2059919.7055871529,0.2989,0.48550832061165006
ecmp-mptcp,true,1869978.0861943024,2196851.7165814466,0.2738,0.5541513119103774
ecmp-mptcp,true,1844380.4034582132,3125237.752161383,0.2776,0.8934769492848778
ecmp-mptcp,true,2104397.8627209207,2403000.411015208,0.2433,1
ecmp-mptcp,true,2120082.81573499,2421010.3519668737,0.2415,0.763776544603294
ecmp-mptcp,true,1940128.8366805606,2326820.765441455,0.2639,0.7262852114341948
ecmp-mptcp,true,1993769.4704049847,2288309.968847352,0.2568,0.5483498312878856
ecmp-mptcp,true,1813673.3970952886,2162174.991144173,0.2823,0.8118250109062277
ecmp-mptcp,true,2007056.0564484517,2360454.723637789,0.2551,0.7705079974408189
ecmp-mptcp,true,2003913.894324853,2334731.8982387474,0.2555,0.5918131671891742
ecmp-mptcp,true,2000781.555295037,2298835.4826103947,0.2559,0.5303570140641904
ecmp-mptcp,true,1845710.1658255227,2701643.8356164386,0.2774,0.6342757337337991
ecmp-mptcp,true,2041467.3046251992,2331499.202551834,0.2508,0.8614268625405861
ecmp-mptcp,true,1946028.1261877613,2224819.4602812617,0.2631,0.6180837134651124
ecmp-mptcp,true,2171331.6369804917,2479117.896522477,0.2358,1
ecmp-mptcp,true,1868613.1386861312,3148357.6642335765,0.274,0.5886138231775556
ecmp-mptcp,true,1880279.1039294896,2199449.1369812707,0.2723,0.7574236139214893
ecmp-mptcp,true,1896296.2962962962,2239948.148148148,0.27,0.5324607864543348
ecmp-mptcp,true,1871345.029239766,2254152.0467836256,0.2736,0.5081570638525071
ecmp-mptcp,true,2131557.0358034973,2433705.245628643,0.2402,1
ecmp-mptcp,true,758406.1620500666,868623.9075692489,0.6751,0.5763359528873409
ecmp-mptcp,true,1990668.7402799379,3128678.071539658,0.2572,0.69884790485924
ecmp-mptcp,true,2018131.6515569573,2349428.458809618,0.2537,0.8045249381809543
ecmp-mptcp,true,1710086.8403473613,2012692.050768203,0.2994,0.5887157282646075
ecmp-mptcp,true,2025316.4556962023,2367476.2658227845,0.2528,0.6145954849415901
ecmp-mptcp,true,1888601.9918849133,2218022.869789745,0.2711,0.5852604981818466
ecmp-mptcp,true,1977597.5280030898,2265569.718037852,0.2589,0.7280910815185548
ecmp-mptcp,true,1849042.9758035394,2215254.6045503793,0.2769,0.47478265715559514
ecmp-mptcp,true,2101806.239737274,2400796.387520525,0.2436,0.8113949410080247
ecmp-mptcp,true,2037405.4914444885,2343143.653004377,0.2513,0.7056815784932216
ecmp-mptcp,true,2149454.2401343407,2454760.7052896726,0.2382,1
